id	overall_score	Ideas_and_Content	Organization	Voice	Word_Choice	Sentence_Fluency	Conventions	total_words	total_sentences	words_div_sentences	sent_density	difficult_words	proportion_vocab_list[a]_total_words	proportion_vocab_list[a]_headwords	proportion_vocab_list[accent]_total_words	proportion_vocab_list[accent]_headwords	proportion_vocab_list[abandon]_total_words	proportion_vocab_list[abandon]_headwords	proportion_vocab_list[abnormal]_total_words	proportion_vocab_list[abnormal]_headwords	proportion_vocab_list[abbey]_total_words	proportion_vocab_list[abbey]_headwords	proportion_vocab_list[abduct]_total_words	proportion_vocab_list[abduct]_headwords	proportion_vocab_list[abate]_total_words	proportion_vocab_list[abate]_headwords	proportion_vocab_list[aback]_total_words	proportion_vocab_list[aback]_headwords	proportion_vocab_list[abbot]_total_words	proportion_vocab_list[abbot]_headwords	proportion_vocab_list[abet]_total_words	proportion_vocab_list[abet]_headwords	proportion_vocab_list[abrasion]_total_words	proportion_vocab_list[abrasion]_headwords	proportion_vocab_list[aberrant]_total_words	proportion_vocab_list[aberrant]_headwords	proportion_vocab_list[abattoir]_total_words	proportion_vocab_list[abattoir]_headwords	proportion_vocab_list[abashed]_total_words	proportion_vocab_list[abashed]_headwords	proportion_vocab_list[abacus]_total_words	proportion_vocab_list[abacus]_headwords	proportion_vocab_list[abalone]_total_words	proportion_vocab_list[abalone]_headwords	proportion_vocab_list[abductee]_total_words	proportion_vocab_list[abductee]_headwords	proportion_vocab_list[aardvark]_total_words	proportion_vocab_list[aardvark]_headwords	proportion_vocab_list[abnegate]_total_words	proportion_vocab_list[abnegate]_headwords	proportion_vocab_list[abaya]_total_words	proportion_vocab_list[abaya]_headwords	proportion_vocab_list[abaft]_total_words	proportion_vocab_list[abaft]_headwords	proportion_vocab_list[abomasum]_total_words	proportion_vocab_list[abomasum]_headwords	proportion_vocab_list[abettor]_total_words	proportion_vocab_list[abettor]_headwords	proportion_vocab_list[acetal]_total_words	proportion_vocab_list[acetal]_headwords	proportion_vocab_list[ablaut]_total_words	proportion_vocab_list[ablaut]_headwords	proportion_vocab_list[a1]_total_words	proportion_vocab_list[a1]_headwords	proportion_vocab_list[ah]_total_words	proportion_vocab_list[ah]_headwords	proportion_vocab_list[absentminded]_total_words	proportion_vocab_list[absentminded]_headwords	proportion_vocab_list[aal]_total_words	proportion_vocab_list[aal]_headwords	unique_words	ttrr	num_types
20716	34	4	4	4	4	4	3	835	39	21.41025641025641	5.51	31	0.2311377245508982	0.028146419717077438	0.009580838323353293	0.0012558869701726845	0.0011976047904191617	0.00017006802721088434	0.003592814371257485	0.0006166495375128469	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	0.0002924831822170225	0.0011976047904191617	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011976047904191617	4.462492748449284e-05	0.0023952095808383233	0.01020408163265306	0.0011976047904191617	0.00016545334215751158	0.0	0.0	34.32	0.34	243
20717	46	6	5	6	5	5	5	863	30	28.766666666666666	3.82	60	0.2862108922363847	0.03602158378299548	0.023174971031286212	0.0031397174254317113	0.005793742757821553	0.0008503401360544217	0.008111239860950173	0.0014388489208633094	0.0011587485515643105	0.00023282887077997672	0.0034762456546929316	0.0007313505607020966	0.002317497103128621	0.0005436259853220984	0.0	0.0	0.0	0.0	0.0011587485515643105	0.00033534540576794097	0.0	0.0	0.0	0.0	0.0011587485515643105	0.00041407867494824016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011587485515643105	0.00016545334215751158	0.0	0.0	38.22	0.38	300
20718	40	4	4	4	4	4	4	969	39	24.846153846153847	4.53	60	0.24974200206398348	0.03529240192504011	0.025799793601651185	0.003924646781789639	0.006191950464396285	0.0010204081632653062	0.010319917440660475	0.0020554984583761563	0.006191950464396285	0.0013969732246798604	0.0010319917440660474	0.00024378352023403217	0.0	0.0	0.0020639834881320948	0.000584966364434045	0.0020639834881320948	0.0006257822277847309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020639834881320948	0.00033090668431502316	0.0010319917440660474	0.0008703220191470844	36.12	0.36	311
20719	30	4	4	4	4	3	3	763	30	25.433333333333334	4.21	26	0.2778505897771953	0.03091731077730786	0.015727391874180863	0.0018838304552590266	0.001310615989515072	0.00017006802721088434	0.002621231979030144	0.00041109969167523125	0.0	0.0	0.005242463958060288	0.0009751340809361287	0.0	0.0	0.0	0.0	0.0	0.0	0.001310615989515072	0.00033534540576794097	0.001310615989515072	0.0003399048266485384	0.0	0.0	0.0	0.0	0.0	0.0	0.001310615989515072	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002621231979030144	0.01020408163265306	0.001310615989515072	0.00016545334215751158	0.001310615989515072	0.0008703220191470844	34.5	0.35	246
20721	26	3	3	3	3	3	3	708	26	27.23076923076923	4.02	24	0.21045197740112995	0.021729619367070147	0.0014124293785310734	0.00015698587127158556	0.002824858757062147	0.0003401360544217687	0.0	0.0	0.00423728813559322	0.0006984866123399302	0.0014124293785310734	0.00024378352023403217	0.0	0.0	0.002824858757062147	0.000584966364434045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00423728813559322	0.0001338747824534785	0.00847457627118644	0.030612244897959183	0.0	0.0	0.002824858757062147	0.0017406440382941688	30.5	0.3	197
20722	40	4	4	4	4	4	4	1043	72	14.48611111111111	9.94	64	0.16395014381591563	0.024938019542073794	0.016299137104506232	0.0026687598116169543	0.003835091083413231	0.0006802721088435374	0.0019175455417066154	0.00041109969167523125	0.0028763183125599234	0.0006984866123399302	0.0028763183125599234	0.0007313505607020966	0.0019175455417066154	0.0005436259853220984	0.0	0.0	0.0	0.0	0.0	0.0	0.0009587727708533077	0.0003399048266485384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028763183125599234	0.0004963600264725347	0.0009587727708533077	0.0008703220191470844	33.98	0.34	246
20723	40	4	4	4	4	4	4	1056	82	12.878048780487806	9.7	84	0.22443181818181818	0.03456322006708473	0.032196969696969696	0.005337519623233909	0.003787878787878788	0.0006802721088435374	0.006628787878787879	0.0014388489208633094	0.004734848484848485	0.0011641443538998836	0.002840909090909091	0.0007313505607020966	0.001893939393939394	0.0005436259853220984	0.000946969696969697	0.0002924831822170225	0.000946969696969697	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000946969696969697	4.462492748449284e-05	0.0	0.0	0.003787878787878788	0.0006618133686300463	0.002840909090909091	0.0026109660574412533	40.83	0.41	345
20724	34	4	3	4	4	4	4	315	17	18.529411764705884	5.78	9	0.32063492063492066	0.014729473530698556	0.012698412698412698	0.0006279434850863422	0.009523809523809525	0.0005102040816326531	0.0	0.0	0.0031746031746031746	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.00031289111389236547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.0004380201489268506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006349206349206349	0.01020408163265306	0.0	0.0	0.0	0.0	41.16	0.41	121
20725	41	4	5	4	5	4	4	855	48	17.8125	6.27	68	0.2549707602339181	0.03179232900685431	0.031578947368421054	0.00423861852433281	0.017543859649122806	0.002551020408163265	0.012865497076023392	0.0022610483042137717	0.005847953216374269	0.0011641443538998836	0.0	0.0	0.0011695906432748538	0.0002718129926610492	0.0035087719298245615	0.0008774495466510676	0.0	0.0	0.0023391812865497076	0.0006706908115358819	0.0	0.0	0.0011695906432748538	0.00036310820624546115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011695906432748538	0.0008703220191470844	40.34	0.4	309
20726	40	4	4	5	4	4	4	668	40	16.7	7.23	49	0.2934131736526946	0.028583928831850663	0.02245508982035928	0.002354788069073783	0.004491017964071856	0.0005102040816326531	0.004491017964071856	0.0006166495375128469	0.004491017964071856	0.0006984866123399302	0.0014970059880239522	0.00024378352023403217	0.0014970059880239522	0.0002718129926610492	0.0	0.0	0.0014970059880239522	0.00031289111389236547	0.0014970059880239522	0.00033534540576794097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014970059880239522	0.00047938638542665386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014970059880239522	0.00016545334215751158	0.0014970059880239522	0.0008703220191470844	44.67	0.45	247
