id	overall_score	Ideas	Organization	Style	Conventions	total_words	total_sentences	words_div_sentences	sent_density	pct_transitions	pct_rel_trigrams	grammar_errors_ltp_by_words	difficult_words	proportion_vocab_list[a]_total_words	proportion_vocab_list[a]_headwords	proportion_vocab_list[accent]_total_words	proportion_vocab_list[accent]_headwords	proportion_vocab_list[abandon]_total_words	proportion_vocab_list[abandon]_headwords	proportion_vocab_list[abnormal]_total_words	proportion_vocab_list[abnormal]_headwords	proportion_vocab_list[abbey]_total_words	proportion_vocab_list[abbey]_headwords	proportion_vocab_list[abduct]_total_words	proportion_vocab_list[abduct]_headwords	proportion_vocab_list[abate]_total_words	proportion_vocab_list[abate]_headwords	proportion_vocab_list[aback]_total_words	proportion_vocab_list[aback]_headwords	proportion_vocab_list[abbot]_total_words	proportion_vocab_list[abbot]_headwords	proportion_vocab_list[abet]_total_words	proportion_vocab_list[abet]_headwords	proportion_vocab_list[abrasion]_total_words	proportion_vocab_list[abrasion]_headwords	proportion_vocab_list[aberrant]_total_words	proportion_vocab_list[aberrant]_headwords	proportion_vocab_list[abattoir]_total_words	proportion_vocab_list[abattoir]_headwords	proportion_vocab_list[abashed]_total_words	proportion_vocab_list[abashed]_headwords	proportion_vocab_list[abacus]_total_words	proportion_vocab_list[abacus]_headwords	proportion_vocab_list[abalone]_total_words	proportion_vocab_list[abalone]_headwords	proportion_vocab_list[abductee]_total_words	proportion_vocab_list[abductee]_headwords	proportion_vocab_list[aardvark]_total_words	proportion_vocab_list[aardvark]_headwords	proportion_vocab_list[abnegate]_total_words	proportion_vocab_list[abnegate]_headwords	proportion_vocab_list[abaya]_total_words	proportion_vocab_list[abaya]_headwords	proportion_vocab_list[abaft]_total_words	proportion_vocab_list[abaft]_headwords	proportion_vocab_list[abomasum]_total_words	proportion_vocab_list[abomasum]_headwords	proportion_vocab_list[abettor]_total_words	proportion_vocab_list[abettor]_headwords	proportion_vocab_list[acetal]_total_words	proportion_vocab_list[acetal]_headwords	proportion_vocab_list[ablaut]_total_words	proportion_vocab_list[ablaut]_headwords	proportion_vocab_list[a1]_total_words	proportion_vocab_list[a1]_headwords	proportion_vocab_list[ah]_total_words	proportion_vocab_list[ah]_headwords	proportion_vocab_list[absentminded]_total_words	proportion_vocab_list[absentminded]_headwords	proportion_vocab_list[aal]_total_words	proportion_vocab_list[aal]_headwords	unique_words	ttrr	num_types	flesch_reading_ease	flesch_kincaid_grade	smog_index	automated_readability_index	coleman_liau_index	linsear_write_formula	dale_chall_readability_score	text_standard	spache_readability	reading_time	crawford	wiener_sachtextformel	monosyllabcount	polysyllabcount	letter_count	char_count	sentence_count	lexicon_count	syllable_count	ts_avg_len_sent	ts_avg_sent_per_word	ts_avg_syllab_per_word	nlemma_types	n_bigram_lemma_types	n_trigram_lemma_types	nlemmas	n_bigram_lemmas	n_trigram_lemmas	ncontent_types	ncontent_tokens	content_ttr	nfunction_tokens	nfunction_types	function_ttr	nouns_total	nouns_unique	ttr_nouns	determiners_unique	determiners_per_words	determiners_total	conjunctions_unique	conjunctions_total	conjunctions_per_words	pronouns_unique	pronouns_total	pronouns_density	pronouns_noun_ratio
17834	15	1	2	2	3	94	3	31.333333333333332	3.33	0.0187	10.08	0.2553191489361702	5	0.4787234042553192	0.006562636721598366	0.010638297872340425	0.00015698587127158556	0.0	0.0	0.010638297872340425	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031914893617021274	0.015306122448979591	0.0	0.0	0.010638297872340425	0.0008703220191470844	62.22	0.62	56	66.41	11.5	6.4	14.8	8.72	15.333333333333334	7.05	12.0	5.546777777777777	5.96	2.3	5.164777777777777	65	1	394	406	3	90	117	30.0	0.03	1.3	56	55	54	90	89	88	25	46	0.5435	44	31	0.7045	9	5	0.5556	1	0.05556	5	1	1	0.01111	1	5	0.05556	0.56
17836	13	2	2	2	2	101	3	33.666666666666664	3.19	0.0093	9.24	0.10891089108910891	8	0.43564356435643564	0.006416800350007292	0.0297029702970297	0.00047095761381475666	0.0	0.0	0.009900990099009901	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.77	0.63	59	73.55	10.8	8.8	12.7	5.64	16.666666666666668	8.04	13.0	5.98891489361702	5.42	2.0	4.545316312056737	76	3	362	369	3	94	116	31.3	0.03	1.2	59	58	57	94	93	92	35	54	0.6481	40	24	0.6	7	6	0.8571	1	0.06383	6	2	5	0.05319	2	0	0.0	0.0
17837	15	2	2	2	2	166	1	166.0	0.64	0.028	14.29	0.15060240963855423	10	0.42168674698795183	0.010208546011375236	0.024096385542168676	0.0006279434850863422	0.012048192771084338	0.0003401360544217687	0.0	0.0	0.012048192771084338	0.00046565774155995343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006024096385542169	0.00016545334215751158	0.0	0.0	59.24	0.59	93	-59.46	59.8	0.0	74.6	6.99	57.0	14.15	60.0	23.111441558441555	9.17	2.7	24.67808571428571	126	7	613	624	1	154	195	154.0	0.01	1.3	93	92	91	157	156	155	60	91	0.6593	66	33	0.5	12	11	0.9167	1	0.08917	14	2	10	0.06369	2	0	0.0	0.0
17838	17	2	2	2	3	257	13	19.76923076923077	5.91	0.0374	27.73	0.05058365758754864	17	0.4046692607003891	0.015166982645471781	0.019455252918287938	0.0007849293563579278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007782101167315175	0.0006257822277847309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.27	0.57	126	85.32	6.3	7.7	8.5	6.38	11.0	6.94	7.0	4.294278173439463	13.6	1.6	2.3979622119815662	174	7	885	926	11	217	269	19.7	0.05	1.2	126	125	124	220	219	218	81	116	0.6983	104	45	0.4327	13	10	0.7692	1	0.09091	20	2	5	0.02273	2	4	0.01818	0.31
17839	13	1	2	2	2	173	12	14.416666666666666	7.95	0.0467	16.81	0.03468208092485549	11	0.32947976878612717	0.008312673180691264	0.011560693641618497	0.0003139717425431711	0.0	0.0	0.0	0.0	0.011560693641618497	0.00046565774155995343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005780346820809248	0.00016545334215751158	0.0	0.0	46.36	0.46	70	84.07	4.7	7.5	5.7	6.6	4.4	5.73	6.0	3.239740066225165	9.8	1.3	2.5559532008830024	115	7	645	667	12	151	195	12.6	0.08	1.3	70	69	68	151	150	149	39	77	0.5065	74	31	0.4189	11	6	0.5455	1	0.05298	8	1	1	0.00662	1	4	0.02649	0.36
17840	23	3	3	3	3	426	33	12.909090909090908	9.62	0.0748	13.45	0.04460093896713615	29	0.3028169014084507	0.01881289193524865	0.014084507042253521	0.0009419152276295133	0.002347417840375587	0.00017006802721088434	0.002347417840375587	0.00020554984583761563	0.002347417840375587	0.00023282887077997672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002347417840375587	0.00016545334215751158	0.0	0.0	48.98	0.49	168	82.65	5.2	7.2	8.3	8.63	5.625	6.77	6.0	3.5552619047619047	23.83	1.5	1.7505619047619052	248	12	1537	1622	24	336	438	14.0	0.07	1.3	168	167	166	343	342	341	119	222	0.536	121	49	0.405	61	15	0.2459	1	0.06414	22	2	17	0.04956	2	34	0.09913	0.56
17841	16	2	2	2	2	185	11	16.818181818181817	6.47	0.0187	14.29	0.03783783783783784	11	0.35135135135135137	0.009479364153419862	0.02702702702702703	0.0007849293563579278	0.005405405405405406	0.00017006802721088434	0.010810810810810811	0.00041109969167523125	0.010810810810810811	0.00046565774155995343	0.005405405405405406	0.00024378352023403217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.41	0.49	84	86.13	5.9	5.8	5.9	4.24	10.2	6.52	6.0	4.058803921568627	9.48	1.3	0.9238692810457518	142	2	630	645	9	170	202	18.9	0.05	1.2	84	83	82	170	169	168	48	87	0.5517	83	36	0.4337	10	7	0.7	1	0.06471	11	4	8	0.04706	4	13	0.07647	1.3
17842	18	2	2	2	3	142	7	20.285714285714285	5.56	0.0187	12.61	0.04225352112676056	13	0.43661971830985913	0.009041855038646638	0.014084507042253521	0.0003139717425431711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.32	0.6	76	78.59	6.8	8.4	8.1	6.96	11.2	7.16	7.0	4.264301587301587	8.06	2.0	2.726266666666667	96	6	533	549	7	126	168	18.0	0.06	1.3	76	75	74	126	125	124	45	68	0.6618	58	31	0.5345	23	12	0.5217	1	0.10317	13	1	3	0.02381	1	8	0.06349	0.35
17843	12	2	2	2	2	369	6	61.5	1.68	0.028	25.21	0.13821138211382114	12	0.2926829268292683	0.01575032813183608	0.005420054200542005	0.0003139717425431711	0.005420054200542005	0.0003401360544217687	0.0027100271002710027	0.00020554984583761563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005420054200542005	0.00033090668431502316	0.0027100271002710027	0.0008703220191470844	36.31	0.36	130	44.72	21.9	9.7	26.7	5.71	51.0	7.7	22.0	9.54026815642458	20.43	2.3	8.868557169459962	287	8	1365	1391	6	358	445	59.7	0.02	1.2	130	129	128	358	357	356	82	200	0.41	158	48	0.3038	16	11	0.6875	1	0.06425	23	2	14	0.03911	2	9	0.02514	0.56
17844	10	1	1	2	2	100	9	11.11111111111111	10.23	0.0093	12.61	0.05	9	0.38	0.005541782120460843	0.03	0.00047095761381475666	0.01	0.00017006802721088434	0.02	0.00041109969167523125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.00016545334215751158	0.0	0.0	59.09	0.59	52	85.69	4.0	7.6	2.6	3.63	5.125	6.69	4.0	3.2695454545454545	5.1	1.1	1.6745409090909091	66	5	335	347	8	88	115	11.0	0.09	1.3	52	51	50	88	87	86	29	50	0.58	38	23	0.6053	6	4	0.6667	1	0.06818	6	2	3	0.03409	2	1	0.01136	0.17
